loss,val_loss
1.785136071,1.882129669
1.30116324,2.228861823
1.092249604,2.053986326
0.831013644,2.321487091
0.715080046,1.919303588
0.681239642,1.52
0.631419169,1.32
0.615881056,1.12
0.625841343,1.03
0.51702098,1.21
0.41776094,1.29
0.386553467,1.34
0.434948704,1.76663635
0.329374917,1.804129271
0.4102532,1.972473584
0.27520337,2.048386211
0.323983448,2.219684831
0.193641015,2.429792697
0.287233013,2.615666778
0.171733817,2.767725266
0.21089966,2.287990592
0.243326411,3.076132947
0.142490698,3.255858861
0.194029057,3.193236109
0.206263116,2.858640669
0.114376426,3.353024346
0.095119306,3.671003977
0.195131957,3.897606744
0.115067519,3.717298413
0.084870616,4.070650288
0.148235457,3.967758338
0.149858726,3.769894293
0.097819356,3.856520709
0.040284278,4.282699573
0.095681352,4.914098702
0.143694934,4.242000625
0.103110288,4.733101216
0.053363962,4.375275257
0.076136287,4.275096977
0.056773562,4.642942174
